為	làm việc,vị,vy,vi
整	chỉnh
注	chú
床	sàng
躱	đóa
鄏	nhục
燦	xán
恾	mang
燼	tẫn,tấn
壔	đảo
瓘	quán
禮	lễ
咢	ngạc
剉	tỏa
澾	thát
猂	hãn
叵	phả
搚	hiếp,lạp
僤	đàn,đạn,đản
誠	thành
拒	cự,củ
嗟	ta
蜢	mãnh
澨	phệ,thệ
爪	trảo
茈	sài
創	sáng,sang
岨	thư
澦	dự
怃	hủ,vũ
餪	noãn
走	tẩu
綳	băng,banh
缟	cảo
盖	cái
鳷	chi
襘	quái
圤	phác
超	siêu
冏	quýnh
祼	lõa,quán
魇	yểm
峆	hàm
餢	bẫu
衆	chúng
捉	tróc
牎	song
悚	tủng
鱮	tự
蓆	tịch
惆	trù
謦	khánh
鹌	am
筇	cung
盉	hòa
脣	thần
咦	di
艢	tường
聵	hội
熄	tức
鐄	hoành
嵋	my,mi
媛	viên,viện
疒	nạch
割	cát
觏	cấu
娅	á
齧	niết,khiết
辽	liêu
輨	quản
㯲	cấm
丩	cưu
瀩	đội
肜	can,dung
顮	tân
閛	phanh
嚀	ninh
觸	xúc
牷	toàn
擒	cầm
螅	tức
憝	đỗi,đội
曖	ái
倢	tiệp
堮	ngạc
瑋	vĩ
枼	diệp
胫	hĩnh
溙	thái
錨	miêu
毼	hạt
篓	lũ,lâu
溢	dật
缀	chuế,chuyết,xuyết
恍	hoảng
篺	bài
綝	lâm,sâm
斟	châm
湩	chúng,đống
伽	già,cà,gia
嘫	nhiên
帽	mạo
犠	hy
鑢	lự
憞	đội
啓	khởi,khải
彞	di
另	lánh
歌	ca
窥	khuy
魎	lưỡng,lượng
昼	trú
蒓	thuần
俵	biểu
㧟	khối
糒	bí,bị
竭	kiệt
斎	trai
糨	cưỡng
浏	lựu,lưu
怜	lân,liên,linh
蝰	khuê
藂	tùng
縡	tể
晳	tích,triết,chế
奩	liêm
聍	ninh
怩	ni
艮	cấn
笏	hốt
刼	kiếp
沲	đà
螾	dẫn
槩	khái
裋	thụ
髹	hưu
銠	lão
绡	tiêu
聼	thính
唵	ảm,án,úm
柝	thác
天	thiên
聫	liên
幘	trách
瘾	ẩn
鷐	thần
裳	thường
旵	sảm
治	trị,trì
督	đốc
鲈	lư,lô
眽	mạch
蝣	du
讯	tấn
曀	ê,ý,ế
突	đột,gia
嬺	nật
锶	tư
睟	túy
享	hưởng
耾	hoành
呎	xích
蟌	thông
誽	nghệ
敷	phu
砍	khảm
置	trí
恔	hiệu
闹	náo,nháo
賉	tuất
嚛	hộ
穪	xưng
攢	toàn,toản
距	cự
褻	điệp,tiết
撃	kích
昝	tảm
螖	hoạt
騴	yến
旴	húc,hu
彗	tuệ
灪	uất
蛚	liệt
砦	trại
笻	cung
曝	bộc
萹	phiên,biển
槈	nậu
嵗	tuế
程	trình
廛	triền
圆	viên
嘙	bà
洚	giáng,hồng
嵬	ngôi,nguy
惔	đạm,đàm
夬	quyết,quái
隸	lệ
曇	đàm
鹅	nga
歈	du
惃	côn
卤	lỗ
諐	khiên
怏	ưởng
柷	chúc
磬	khánh
蛬	cung
燭	chúc
佥	thiêm
駺	lang
穆	mặc,mục
鵂	hưu
騃	ngai,ngốc,ngãi,sĩ
攏	long,lung,lũng
奡	ngạo
牟	mâu,mưu
濾	lự
棱	lăng
逯	đãi,lục,đệ,lộc
蔱	sát
鄛	sào
螀	tương
鬍	hồ
誕	đản
勪	kiểu
搣	diệt
賷	tê
籖	thiêm
漣	liên
縜	vận
滘	khiếu
滸	hử
趟	thảng,tranh
榷	các,giác
韵	vận
酅	hy,huê
罵	mạ
烱	huỳnh,quýnh
撈	liệu,lao
玔	xuyến
饤	đính
缅	miến,diến,miễn
犐	khoa
贊	tán
庮	dậu
嗶	tất
翅	sí
惾	tông
跴	tẩy,thải
殂	tồ
欘	chúc
竻	lặc,cân
蠩	chư
鮍	bì
譌	ngoa
擽	lịch
揢	khách
搗	đảo
澂	trừng
虼	khất
紽	đà
哽	ngạnh
婢	tì,tỳ
册	sách
勗	úc,húc
猢	hồ
统	thống
褳	liên
溘	khạp
买	mãi
竢	sĩ
觧	giải
揔	tổng
囈	nghệ
鄵	tháo
諏	tưu
嚻	hiêu
迵	đồng
翎	linh
𫐇	nạp
稊	đề
櫳	long,lung
勺	chước,thược
惸	quỳnh
唏	hy,hi,hý
蛃	bính
婗	nghê
迎	nghinh,nghịnh,nghênh
窘	quẫn
儮	lịch
閩	mân
磋	tha
锢	cố
蠹	đố
倾	khuynh
罐	quán
凥	cư
碃	thanh
枫	phong
繸	toại
脲	niệu
蚹	phụ
卞	biện
垾	hạn
蛮	man
懬	khoáng
畀	tý,tí
剷	sản
愒	khái,khế
巃	lung
髯	nhiêm
鍇	khải,hài
宅	trạch
轰	hoanh,oanh
秊	niên
𤅷	linh
迒	hàng
箨	thác
虎	hổ
塊	khối
桧	cối
桐	thông,đồng
疽	thư
崒	tụy,tột,tốt
餟	chuyết
販	phiến,phán
幚	bang
欂	bách,bạc
舭	tỳ
幺	yêu
隺	hộc,hạc
煻	đường
婧	tinh
襇	giản,cán
夀	thọ
輿	dư
聂	niếp,nhiếp
媓	hoàng
炆	văn
锁	tỏa
鴉	nha
鉸	giảo
硉	luật,lột
翱	cao,ngao
皠	thối
獾	hoan
邈	mạc
礹	nham
餿	sưu
瑰	côi,khôi
缬	hiệt
堣	ngung
滅	diệt
徬	bàng,bạng
苷	đại
桡	kiêu,nạo,nhiêu
崺	dĩ
芴	hốt,vật
毂	cốc
嫗	ủ,ẩu
瓽	đáng
晫	trác
蟈	quắc
盭	lệ
垔	yên,nhân
燀	sán,xiển
顺	thuận
诋	để
澆	kiêu,nghiêu
闉	nhân
谑	hước
腼	điến,điển,diến
寬	khoan
峛	lị,lệ
笄	kê
蒶	phần
鉭	đán
剧	kịch
骕	túc
策	sách
吆	yêu
楫	tiếp
癑	nung,nùng,nồng
愜	khiếp,thiếp
傧	tấn,tân
猓	qủa
磁	từ
拱	củng
溜	lựu,lưu
砠	thư
巩	củng
瘺	lũ
痶	điển
砷	thân
螜	hộc
枩	tùng
閤	cáp,hợp,hạp
躍	dược,thích
摷	tiễu,sào
拆	sách,xích
葡	bồ
彃	tất
嫜	chương
盥	quán
鏂	âu
骹	khao
嬪	tần
譆	hy,hi
給	cấp
艟	đồng
牙	nha
摚	đường
糦	xí
狪	thông
疷	chi
浙	chiết,triết
鷃	yến
鏦	thung
阀	phiệt
祎	y
舩	thuyền
鯇	cán
闟	hấp,tháp
伉	kháng
絼	trẩn
揸	tra
鲥	thì
笺	tiên
閨	khuê
簡	giản
绲	cổn
楰	du
稛	khổn
褑	viễn
砆	phu
奁	liêm
敿	kiểu,kiều
姙	nhâm
敫	kiểu
挵	lộng
备	bị
裝	trang
讧	hồng
唱	xướng
鞓	thinh
攦	lệ
鋀	du,đậu
楳	kì,mai
炬	cự
倽	xá
挣	tranh,tránh
矽	tịch
谍	điệp
兊	đoài,đoái
憴	thằng
绅	thân
秝	lịch
沙	sá,sa
旅	lữ
俇	cuống
氙	tiên
嗧	gia luân
襐	tượng
郕	thành
麦	mạch
閎	hoằng,hoành
瞵	lân
閽	hôn
秸	kiết
鬠	quái
钍	thổ
搰	cô,cốt,hột
尰	thũng
诼	trác
傅	phu,phó,phụ
夕	tịch
廱	ung
眞	chân
漦	ly
儩	tứ
矻	ngột,khốt
埰	thái,thải
醖	uấn
詔	chiếu
蚃	hưởng
恋	luyến
皽	cha,triển
菹	trư,thư
鱼	ngư
赯	đường
睦	mục
捨	xả
纱	sa
偵	trinh
瑉	mân
砸	tạp
酿	nhưỡng
慶	khánh,khương,khanh
絅	quynh,quýnh
殑	căng
巨	cự,há
恣	thư,tứ
噸	đốn
颞	nhiếp
桰	quát
屁	thí
絙	căng
麻	ma
粘	niêm
彯	phiêu
樔	tiễu,sào
鈀	bả,ba
郝	hác
磏	liêm
劇	kịch
朾	tranh
譱	thiện
雔	thù
俧	chi
宋	tống
蘓	tô
晓	hiểu
俐	lị,lợi
汸	bàng
哱	phá,bột
艪	lỗ
锠	xương
簒	thoán,soán
瘨	điên
媮	thâu,du
溝	câu
謰	liên
疈	phúc
騄	lục
遏	át
婶	thẩm
鎇	my
詆	để
全	toàn
絫	lũy
芏	đỗ
漫	mạn,man
赈	chẩn
蟠	bàn,phiền
斧	phủ
嘎	dát,ca,kiết
缭	liễu
韽	am
愉	thâu,du
邡	phương,phóng
躨	qùy
谚	ngạn
疛	chửu
浒	hử
悂	bì
弯	loan
業	nghiệp
嘕	hiên
攂	lôi,lụy
嚕	lỗ,rô
鬧	náo,nháo
楀	vũ
堺	giới
匊	cúc
炙	chá,chích
曜	diệu
壅	úng,ủng,ung
蔇	ký
論	luân,luận
擠	tê,tễ
冷	lãnh
閆	diêm
誐	nga
棨	khể,khải
輒	triếp
鹍	côn
鐲	trạc
铒	nhĩ
覓	mịch
蓬	bồng
睋	nga
篱	ly,li
叹	thán
澘	san
醅	phôi
砥	để,chỉ
袒	đản
撤	triệt
堩	căng
葱	thông,song
胦	ương
绉	trứu
暾	đôn,thôn
蚡	phân,phẫn,phần
痣	chí
男	nam
练	luyện
勛	huân
悉	tất
掃	táo,tảo
痃	hiền,huyền
懷	hoài
硷	dảm,kiềm,thiêm
窳	dũ
擭	hoạch,hộ,oách
鰎	kiển
獃	ngai,ngốc
詡	hủ,hu
兲	thiên
森	sâm
邨	thôn
璙	liêu,liệu
帮	bang
勱	mại
蔉	cổn
鷫	túc
沼	chiểu
撖	hạm,hàn
魕	kỳ,kì
亼	tập
錹	khẳng
際	tế
抆	vẫn,vấn
員	viên,vân
狢	hạc
昢	phốt
唶	giới,tá,trách,tắc
圳	quyến
赪	trinh,xanh
鸯	ương
倪	nghê
僾	ái
鬪	đấu
犯	phạm
瀾	lan
犧	hy,hi
擯	bấn,thấn,tấn
辳	nông
愷	khải
葖	đột
焫	nhiệt
蚉	văn
緹	đề
禎	trinh
礒	nghị
艨	mông
陵	lăng
蒠	tức
覼	kiến,la
墼	kích
琲	bội
髪	phát
壝	duy
繞	nhiễu
楬	kiệt,kệ
絰	điệt
幩	phần
鄚	mạc,mạo
碻	nghiêu,xác
坛	đàn,đàm
簉	sứu,sửu
窠	khoa,khỏa,khòa
筞	sách
衕	đồng
迸	bình,bính
駝	đà,trì
滶	ngao
箴	châm
侖	luân,lôn
让	nhượng
絶	tuyệt
梩	tỷ
肃	túc
敽	kiểu
誻	đạp
雄	hùng
蹜	súc,xúc
闌	lan
苜	mục
塥	cách
屼	ngột
𥞵	giáp
饋	qũy
墠	thiện
诞	đản
凿	tạc
灿	xán
珥	nhĩ,nhị
卌	tấp
鵲	thước
燧	toại
態	thái
羗	khương
彣	văn
戬	tiển
狱	ngục
濰	duy
歛	liễm
輔	phụ
藭	cùng
颳	quát
骱	giới
譫	thiềm,chiêm,thiêm
楼	lâu
僒	quẫn
婸	sướng
螪	thương
鼫	thạch
黑	hắc
寄	ký,kí
浮	phù
縢	đằng
氉	táo
到	đáo
骙	qùy
癘	lệ
睠	quyến
迓	nhạ
塕	ổng
賟	thưởng
厯	lịch
痊	thuyên
啶	đính
賾	trách
鬱	úc,uất
絲	ty,ti
剂	tề,tễ,tệ
銣	như
蝨	sắt
靉	ái
桥	khiêu,cao,kiều
粗	thố,thô
茺	sung
捷	thiệp,tiệp
鵓	bột
僈	mạn
坠	trụy
淖	náo,xước
渙	hoán
惏	lâm,lam,lẫm
竝	tịnh
蟡	qụy
瘡	sang
帟	diệc,dịch
呉	ngô
俚	lí,lý
戗	sang,thương
銲	hạn,hãn
嬍	mĩ,mỹ
皴	thuân
痂	già,gia
幫	bang
戔	tàn,tiên
荘	trang
驂	tham
絭	quyến
殢	đế,thế
踢	thích
急	cấp
衡	hành,hoành
师	sư
颸	ty,ti
萦	oanh
顝	cốt
鉦	chinh
玅	diệu
瑗	viện
琤	tranh
驘	loa,la
瀑	bạo,bộc
衭	phu
靰	ngột
衫	sam
班	ban
佺	toàn,thuyên
亝	tề
肊	ức
鹊	thước
燿	sảo,diệu
毲	đát
礎	sở
逹	đạt
裹	khỏa,khõa,lõa
抡	luân
课	khóa
鐍	quyết
浐	ngạn
務	vụ,vũ
銘	minh
凡	hoàn,phàm
妔	hàng,khanh
汞	cống,hống
歭	trĩ
执	chấp
萨	tát
穭	lữ
篤	đốc
璎	anh
斉	tề
酱	tương
泔	hạm,cam
軷	bạt
覧	lãm
蕨	quyết
韅	hiển
渀	biện
儻	thảng
辙	triệt
雁	nhạn
躈	khiếu
麒	kỳ,kì
蓘	cổn
葳	uy
哷	liệt
醧	âu
琦	kỳ,kì
楣	my,mi
繪	hội
右	hữu
仵	ngỗ
齙	bao
壩	bá
阛	hoàn
籗	trạc
駟	tứ
妣	tỷ,tỉ
奎	khuê
啊	á,a
鰱	liên
像	tượng,tương
葥	tiền
陾	nhưng
劌	quế
蔎	thiết
裏	lí,lý
婁	lũ,lâu,lu
馑	cận
连	liên
抽	trừu
驄	thông
橘	quất
媍	phụ
鳔	phiêu
烹	phanh
倹	kiệm
髢	thế
瑕	hà
衇	mạch
蚊	văn
糤	tản
嶌	đảo
财	tài
俳	bồi,bài
箒	trửu,chửu
问	vấn
暦	lịch
讶	nhạ
敲	xao
竄	thoán,soán
岈	ha
玮	vĩ
閏	nhuận
覇	phách,bá
蔼	ái
糅	nhữu
嵊	thặng
殣	cận
沃	ốc
隯	đào
敤	khỏa
碓	đối
裷	cổn
衹	kỳ,chỉ
幬	đào,trù
埔	phố,bộ
蔀	bộ
甓	bích
擅	thiện
轑	liêu,liệu,lao
愯	tủng,song
靭	nhận
犿	phiên
徠	lại,lai
骷	khô
辞	từ
嗢	ốt,miệt
鄍	minh
珰	đương,đang
扻	tiết
谢	tạ
笳	già,gia
渫	điệp,tiết
镇	trấn
筓	kê
义	nghĩa
准	chuyết,chuẩn
傓	phiến
騪	sưu
袾	chu
傣	thái
婇	thể
瑚	hô,hồ
蠯	bảnh
匶	cựu,cữu
瘋	phong
靛	điện
丂	khảo
钫	phương
綕	chức
潐	tiêu
輁	củng
蝴	hồ
萘	nại
眹	trẫm
畽	thoản,thỗn
籄	qũy
孋	ly
崥	tỷ
描	miêu
噀	tuyển,tổn,tốn
纈	hiệt
黒	hắc
拷	khảo
蜉	phù
渡	độ
鐎	tiêu
迹	tích
豚	độn,đồn
淌	thảng,xướng
溱	trân,trăn
熸	tiêm
鹖	hạt
抱	bão,bào
蛒	cách
蝸	oa,qua
嫛	ê
悸	qúy
嚎	hào
秠	phi
楚	sở
式	thức
菴	ám,am
颍	dĩnh,toánh
判	phán
寉	hạc
瀫	hộc
悮	ngộ
倘	thảng
熤	tập
鑲	nhương,tương
猃	hiểm
惓	quyền,quyển
踌	trù
殁	một
灛	xiển
佧	kha
胶	giao
黁	nuyên
毱	cúc
莗	xa
銛	thiểm,quát,tiêm
繽	tân
亾	vong
赓	canh
鮫	giao
戌	tuất
汶	mân,môn,vấn
懪	bạc
烨	diệp
槢	tập
淥	lục
噆	thản
濔	nhĩ
賛	tán
苓	linh
字	tự
翘	kiều
輙	triếp
龑	yểm
倧	tông
騯	bàng
槌	chùy,trùy,đôi
诃	ha
毤	thóa
嚞	triết
抾	kiếp,khư
櫢	tẩu
駂	bảo
従	tòng
肸	hất,hật,bị
蜿	uyển
顛	điên
懔	lẫm
双	song
西	tê,tây
巖	nham
廸	địch
湢	bức
黰	chẩn
灃	phong
魏	nguy,ngụy
蜆	hiện
谠	đảng
鬿	kỳ
写	tả
刦	kiếp
亳	bạc
浜	binh,banh
峊	phụ
鏇	toàn,tuyền
騽	tập
簶	lộc
稜	lắng,lăng
匳	liêm
恚	huệ,khuể
蛐	khúc
瑶	dao
篷	bồng
嚃	tháp
憁	tổng
剖	phẫu
龢	hòa
瑭	đường
罇	tôn
睥	bễ
砰	phanh
靷	dẫn
嘞	lặc
胴	đỗng
塟	tang,táng
謔	hước
铢	thù
顶	đính,đỉnh
粻	trương
谇	tối
藹	ái
騌	tung,tông
伦	luân
薋	tư
篮	lam
駬	nhĩ
鲪	quân
侀	hinh
拇	mẫu
仆	phó,bộc
赩	hách
殄	điễn,điển
馉	cốt
窀	truân
蔕	đế
怼	đỗi
熬	ngao
齓	sấn
霆	đình
醫	y,ỷ
賮	tẫn
孰	thục
飏	dương
蓓	bội
砚	nghiễn
駰	nhân
靠	kháo,khốc
胁	hiếp
魙	tiệm
蓉	dong,dung
滾	cổn
柎	phu,phủ,phụ
遛	lựu,lưu
鍳	giám
巾	cân
嘾	đảm
妤	dư
螼	cẩn
嚦	lịch
荚	giáp
悼	điệu,nạo
嘷	hào
熰	âu
歯	xỉ
菿	đáo
惚	dịch,hốt
戢	tập
拪	thiên
戸	hộ
底	để
榴	lựu,lưu
鵰	điêu
髼	bồng
帘	liêm
祖	tổ
喿	táo
猷	du
籞	ngữ
齷	ác
枑	hộ
斬	trảm
牴	để
摢	sư,xư,hồ,hộ
帳	trướng
糕	cao
鑮	bạc
宍	nhục
鳦	ất
腭	ngạc
熊	hùng
錠	đĩnh
圀	quốc
扫	táo,tảo
痯	quản
漈	tế
衁	hoang
譹	hạo,hiệu
慼	thích
颅	lô
篆	triện
铇	bào
觵	quang,quăng
徽	huy
禰	nễ,nỉ
奋	phấn
亠	đầu
剟	xuyết
嘟	đô
熒	huỳnh
泚	thử
驆	tất
驶	sử
恑	qủy
衞	vệ
畐	phúc
鋯	cáo
钏	xuyến
裤	khố
朢	vọng
簁	si
坨	đà
炜	vĩ
迩	nhĩ
潔	khiết
桨	tưởng,tương
董	đổng
狺	ngân
湆	khấp
𢒎	phi
聯	liên,liễn
沣	phong
骸	hài
佞	nịnh
驎	lân
馀	dư
褙	bối
袸	tiến
鴷	liệt
訓	huấn
筣	lê
轿	kiệu
鄐	súc
艱	gian
罄	khánh
偕	giai
遫	tốc
谒	yết
谩	mạn,man
媔	miên
馻	duyện
丣	dậu
芨	cập
觩	cầu
諫	gián
甌	ẩu,âu
踽	chủ,củ
玤	bổng
轍	triệt
讹	ngoa
興	hưng,hứng
渟	đình
堅	kiên
蹪	đồi
欋	cù
栴	chiên
涟	liên
胯	khóa,khố
螗	đường
棡	cương
僃	bị
滂	bàng
傈	lật
希	hy,hi
𤏡	bặc
辊	cổn
嗹	liên
墑	thương
庽	ngụ
麎	thần
挱	ta,sa
挦	triêm,tầm
疼	đông
俺	yêm
峄	dịch
釆	biện
蚖	nguyên,ngoan
閫	khổn
髤	hưu
糙	tháo
菽	thục,thúc
矇	mông
瞖	ế
耩	giảng
珅	thân
痱	phỉ,phi
蔔	bặc,bốc
樴	chức
菓	qủa
羌	khương
纸	chỉ
麈	chủ
薽	chân
袪	khư
侍	thị
癃	long,lung
蚳	trì,chỉ
觓	cầu
楨	trinh
燅	tầm
驑	lưu
惶	hoàng
俻	bị
战	chiến
瞚	thuấn
婊	biểu
吮	duyện
發	phát,bát
攅	toàn
暐	vĩ
韡	vĩ,ngoa
鉅	cự
语	ngữ,ngứ
柃	linh
嫠	ly,li
缿	hạng
骧	tương
煌	hoàng
讋	triệp
闰	nhuận
黶	yểm
揀	giản,luyến
貎	nghê
赆	tẫn
薱	đối
艐	tông
薏	ý
竽	vu
寇	khấu
藐	mạc,miễu,miểu
珪	khuê
邢	hình
蘤	hoa,vị
恽	uẩn
赊	xa
东	đông
鈴	linh
钱	tiền,tiễn
荣	vinh
襂	sam,sâm
惐	vực
哟	yêu
矴	đĩnh,đính
嶼	dữ,tự,dư
蒌	lâu,liễu
捶	trùy,chủy,chúy
絷	trập
恱	duyệt
砭	biêm
肪	phương
髳	mâu
岬	giáp
訶	ha
柣	trật
腝	nạo,nê
槉	tật
嵆	kê
汓	tù
蕓	vân
嗌	ích,ác,ách,ái,ải
礅	đôn
煃	khuể
庞	bàng
刌	thiển
锋	phong
唷	dục
调	điệu,điều
鑔	sát
脐	tề
舷	huyền
脔	luyến
裙	quần
註	chú
愅	cách
狻	toan
栓	xuyên,thuyên
華	hóa,hoa
鵴	cúc
唓	xa
铍	phi
玎	đinh
耎	nhuyễn
耴	ngất,nhiếp
伾	phi
黕	đảm
婩	nghiễn
将	tướng,thương,tương
产	sản
缤	tân
饗	hưởng
麧	hột
除	trừ
敳	ngai
廇	lựu
觫	tốc
鐏	tôn,tỗn
菋	vị
硊	ngụy
璞	phác
槾	man
忖	thổn,thốn
蝠	bức
觐	cẩn,cận
縋	trúy,trùy
唒	dẫu
馯	khan,han
秪	chi
覡	hích
敺	ẩu,khu
闃	khuých
绽	trán
趑	tư
郏	giáp
頞	át
濿	lệ
坟	bổn,phẫn,phần
慟	đỗng,động
誼	nghị
騾	loa,la
蘩	phiền
虱	sắt
鐿	ý
縧	thao
褽	úy
謏	tiểu,tẩu
轒	phần
诙	khôi
列	liệt
紃	tuần,xuyên
堁	khỏa
殲	tiêm
碼	mã
锟	côn
娛	ngu
润	nhuận
豂	liêu
萭	câu,vũ
酋	tù
洋	dương
幙	mạc
嫩	nộn
塵	trần
靪	đinh
秺	trà
枿	nghiệt
籜	thác
腎	thận
鼍	đà
蠲	quyên
蒒	sư
妖	yêu
鎋	hạt
蔗	giá
駢	biền
鏰	băng
涌	dũng
繛	xước
焞	đôn
纥	hột
酣	hàm
濄	qua
挲	ta,sa
鼨	chung
罗	la
啣	hàm
锴	khải,hài
览	lãm
囬	hồi
歧	kỳ,kì
惉	siêm
羞	tu
褂	quái
皺	trứu
呪	chú
牏	du
敜	niếp
氕	phân
貅	hưu
虤	ngan
茂	mậu
踬	chí,trí
昴	mão
炁	khí
帑	thảng,nô
帝	đế
歉	khiểm
潺	sàn
繲	giải
镮	hoàn
緲	diểu,miểu
利	lợi
搹	ách
螈	nguyên
褭	niểu
嫔	tần
谪	trích
膏	cao,cáo
衚	hồ
穾	yểu
鷇	cấu
地	địa
坿	phụ
衎	khán,khản
蜑	đản
綣	quyển
搵	vấn,uấn
觌	địch
穐	thu
貐	dũ
組	tổ
辬	ban
雥	tập
揌	tai
騏	kỳ,kì
柫	phất
穋	lục
鮓	trá,trả
壇	đàn
鄰	lân
甬	dõng,dũng
滗	tiết
鳄	ngạc
挳	khinh
尅	khắc
缜	chẩn
穠	nùng
巔	điên
鮣	ấn
豟	ách
漬	tý,tí
齺	trâu
懃	cần
猜	thai,sai
襞	bích
纣	trụ
摙	liễn
住	trụ,trú
蝓	du
珞	lạc
燥	táo
薗	viên
剏	sáng,sang
戆	tráng
冡	mông
淆	hào
辖	hạt
騇	xá
慊	hiềm,khiếp,khiết,khiểm
撜	chửng,trành
讕	lan
旧	cựu
頺	đồi
漙	đoàn
蛤	cáp
联	liên
鯽	tức
涉	thiệp
膧	đồng
睤	bễ
痪	hoán
薅	hao
羼	sạn
屭	hí,hý
泵	bơm
映	ánh
坱	dưỡng,ương
涒	thôn,uân
瘐	dũ
檣	tường
崇	sùng
覶	loa,la
馌	diệp,ấp
席	tịch
礉	khiếu
艏	thủ
糱	nghiệt
崋	hoa
粟	túc
孴	nghĩ
堰	yển
鞍	yên,an
緆	tích
螟	minh
綀	sư,sơ
桫	sa
抝	ảo
驨	huê
禛	chân
灉	ưng,ung
鹢	nghịch
桋	đề,di
鹞	diêu
囚	tù
阝	phụ
𦕒	điêm
寸	thốn
瓛	hoàn
续	tục
旯	lạp
蔟	thốc,thấu
铑	lão
捊	phu,bào
渿	nại
頴	dĩnh
猖	xương
鍚	dương
肿	trũng,thũng
谺	ha
鰭	kỳ,kì
澈	triệt
酬	thù
術	toại,thuật
漢	hán
淩	lăng
韠	tất
薪	tân
誫	chấn
媽	mụ,ma
乴	tích
籙	lục
丄	thượng
欬	ái,khái
裁	tài
綠	lục
俊	tuấn
搨	tháp
羀	duy,lữu
鑨	lung
鉥	thuật
搳	hoa,hạt
蜣	khương
鏵	hoa
窛	khấu
蒢	trừ
澩	hạc
蜗	oa
銫	sắc
峦	loan
鐘	chung
缇	đề
斮	trước,trác
鳕	tuyết
鞝	chưởng,thượng
襹	si
敉	mị
罰	phạt
鍘	trát
誚	tiếu
肋	lặc
跶	thát,đáp
鷕	diểu
掬	cúc
鳃	tai
仰	nhạng,ngang,ngưỡng
姹	xá,sá
亰	kinh
杏	hạnh
噠	đát
昭	chiêu,thiều
協	hiệp
挚	chí
鐐	liêu
内	nạp,nội
钥	thược
茧	kiển
碡	độc
疢	sấn
寰	hoàn
舸	khả
眑	yểu
紧	khẩn
踤	tụy,tột
瓔	anh
晒	sái
楯	thuẫn
輷	oanh
猍	lai
觯	chí
黟	y
彿	phất
邴	bỉnh,bính
蕭	tiêu
嗆	sang,thương
逃	đào
葶	đình
猩	tinh
睗	thích
令	lịnh,linh,lệnh
猈	bãi
懇	khẩn
箭	tiễn,tiến
郁	úc,uất
泫	huyễn,huyên
鲢	liên
漏	lâu,lậu
侇	di
硝	tiêu
吴	ngô
霈	bái
蠵	huê
鬟	hoàn
嶽	nhạc
攤	than
摶	chuyên,đoàn
峯	phong
聒	quát
管	quản
鶘	hồ
祋	đoái
狾	chế
钎	thiên
戟	kích
冂	quynh
騰	đằng
軀	khu
跮	sí
纲	cương
礩	chí,chất
搘	chi
傢	gia
坴	lục
穸	tịch
牧	mục
灈	cù
俩	lưỡng
霩	khuếch
吠	phệ
裢	liên
结	kết
蠾	chúc
髲	bị
酌	chước
觙	cô
鯰	niềm,niêm
韺	anh
線	tuyến
撞	chàng,tràng
吝	lận
鎖	tỏa
枥	lịch
諤	ngạc
屵	ngạt
潗	tập
鄎	tức
戩	tiễn,tiển
狉	phi
塾	thục
箑	tiệp
鱓	thiện,đà,lưu
皲	quân
滈	hạo,hao
赦	xá
礄	kiều
帻	trách
鈦	thái
澭	ung
鍐	tông
誒	hy,ai
躺	thảng
瓨	giang
豐	phong
煁	thầm,thâm
礚	khái
溚	tháp
缉	tập
轢	lịch
铝	lữ
夯	bổn,kháng,hãng
畚	bổn,bản
猋	tiêu
涨	trướng
爁	lãm
柍	ương,anh
飁	tập
碛	thích
羓	ba
氅	xưởng,sưởng
基	cơ
脃	thúy
働	động
挆	đỏa
缰	cương
奬	tưởng
褓	bảo
琐	tỏa
镈	bác
騥	nhu
橛	quyết
薊	kế
滋	tư
矙	khám
塒	thì
蓡	sâm
巵	chi
跼	cục
鹥	ê
伄	điếu
鎧	khải
蹽	liêu
璨	xán
壜	đàm
金	kim
咉	ương
洁	khiết
鵑	quyên
掝	hoặc
鸮	hào
罠	mân
赚	trám
药	dược,ước,điếu
曼	mạn,man
僗	lao
緁	tiệp
贠	viên
苅	ngải
啴	xiển,than
籺	hột
鸄	kiếu
渍	tý,tí
裾	cư,cứ
趈	trạm
砅	lệ
稸	súc
殞	vẫn
虞	ngu
丑	xú,sửu
匡	khuông
爍	thước
翨	sí
妙	diệu
駵	lưu
囀	chuyển
懙	dư
圗	đồ
悆	dự
僋	thám
闡	xiển
蕱	sao
愰	hoảng
椇	củ
淋	lâm
榔	lang
鼃	oa
峭	tiễu
讜	đảng
廐	cứu
翚	huy
劉	lưu
僚	liêu
帣	quyến
秀	tú
栨	thứ
纂	toản
坍	than
兽	thú
翂	phân
釧	xuyến
哳	triết
薮	tẩu
陟	trắc
埴	thực
邾	chu
悐	thích
挹	ấp
鹜	vụ
稑	lục
郐	cối
阞	lặc
矩	củ
配	phối
鐠	phổ
滓	chỉ
怒	nộ
婓	phi
試	thí
鸋	ninh
吚	y
饕	thao
寫	tả
維	duy
乢	cái
耀	diệu
湾	loan
蘋	bình,tần
跹	tiên
念	niệm
緉	lưỡng
穇	sam,sâm
遐	hà
窞	đạm,nảm,đảm
鲳	xương
裞	thuế
怭	tất
皜	hạo,cảo
夃	cô
股	cổ
鼠	thử
跤	giao
姑	cô
舨	bản
臄	cược
宇	vũ
哗	hoa
閥	phiệt
踫	bính
氰	tình
譚	đàm
